Date,Forecasted Sales
2017-12-31,3483.949450999999
2018-01-01,1786.2997399999992
2018-01-02,1270.38553
2018-01-03,765.7785599999999
2018-01-04,1510.5133099999991
2018-01-05,1437.6178269999998
2018-01-06,1082.5536099999997
2018-01-07,1554.5180040000007
2018-01-08,1605.93279
2018-01-09,1326.1199399999998
2018-01-10,1210.3699099999994
2018-01-11,1252.4421819999995
2018-01-12,1550.5529360000007
2018-01-13,1088.9989739999996
2018-01-14,1205.0176079999997
2018-01-15,1487.4402479999999
2018-01-16,1407.7272579999992
2018-01-17,1415.1614319999994
2018-01-18,1336.115168
2018-01-19,1425.3095759999994
2018-01-20,1179.707532
2018-01-21,1298.8577179999995
2018-01-22,1310.6363719999988
2018-01-23,1259.3782259999991
2018-01-24,1337.047845999999
2018-01-25,1461.7126239999998
2018-01-26,1564.068376
2018-01-27,1246.3173560000002
2018-01-28,1253.0986820000003
2018-01-29,1302.9705139999999
